d1,1,1,1,1,1
d2,-1,-1,-1,-1,-1
d3,1,1,1,1,0
d4,-1,-1,-1,-1,0
d5,1,1,1,0,1
d6,-1,-1,-1,0,-1
d7,1,1,0,1,1
d8,-1,-1,0,-1,-1
d9,1,0,1,1,1
d10,-1,0,-1,-1,-1
d11,0,1,1,1,1
d12,0,-1,-1,-1,-1
d13,1,1,1,0,0
d14,-1,-1,-1,0,0
d15,1,1,0,1,0
d16,-1,-1,0,-1,0
d17,1,1,0,0,1
d18,-1,-1,0,0,-1
d19,1,0,1,1,0
d20,-1,0,-1,-1,0
d21,1,0,1,0,1
d22,-1,0,-1,0,-1
d23,1,0,0,1,1
d24,-1,0,0,-1,-1
d25,0,1,1,1,0
d26,0,-1,-1,-1,0
d27,0,1,1,0,1
d28,0,-1,-1,0,-1
d29,0,1,0,1,1
d30,0,-1,0,-1,-1
d31,0,0,1,1,1
d32,0,0,-1,-1,-1
d33,1,1,0,0,0
d34,-1,-1,0,0,0
d35,1,0,1,0,0
d36,-1,0,-1,0,0
d37,1,0,0,1,0
d38,-1,0,0,-1,0
d39,1,0,0,0,1
d40,-1,0,0,0,-1
d41,0,1,1,0,0
d42,0,-1,-1,0,0
d43,0,1,0,1,0
d44,0,-1,0,-1,0
d45,0,1,0,0,1
d46,0,-1,0,0,-1
d47,0,0,1,1,0
d48,0,0,-1,-1,0
d49,0,0,1,0,1
d50,0,0,-1,0,-1
d51,0,0,0,1,1
d52,0,0,0,-1,-1
d53,1,0,0,0,0
d54,-1,0,0,0,0
d55,0,1,0,0,0
d56,0,-1,0,0,0
d57,0,0,1,0,0
d58,0,0,-1,0,0
d59,0,0,0,1,0
d60,0,0,0,-1,0
d61,0,0,0,0,1
d62,0,0,0,0,-1
